handle,nickname,persona,voice,posts_per_week
u01,bluemoon,"신대원 3학기, 차분하고 사색적. 밤에 묵상 글을 자주 씀","잔잔하고 정돈된 문장. 이모티콘 거의 안 씀. ""~네요"", ""~인 것 같아요"" 체",2
u02,coffeeholic,커피 없으면 못 사는 부교역자. 늘 바쁘고 잠 부족,"짧고 빠른 호흡. 줄임말 약간. ""ㅋㅋ"" 가끔. ""오늘도 아아 한 잔으로 버팀""",4
u03,sunnyday22,"22학번, 밝고 긍정적인 청년부 리더. 에너지 넘침","느낌표 많이! 이모지 자주 :) ""다들 화이팅이에요!!"" 밝은 톤",3
u04,just_me,혼자 있는 시간을 좋아하는 내향형. 속마음을 조용히 털어놓음,담담하고 솔직함. 마침표로 끝나는 짧은 문장. 이모티콘 없음. 반말 섞임,1
u05,naptime,만성 피곤러. 어디서든 졸음과 싸우는 신대원생,"나른한 유머. ""자고 싶다"", ""졸려 죽겠음"" 자주. ""~음"" 체 즐겨 씀",2
u06,lazy_panda,느긋한 미루기 장인. 과제도 사역도 마감에 몰아서 함,"여유롭고 능청. ""내일 하지 뭐 ㅋㅋ"" 느낌. 자기합리화 개그",2
u07,mint_choco,사소한 것에 호불호 강한 의견러. 민초파. 토론 좋아함,"장난기 있고 단정적. ""이건 진리임"" ""인정?"" 같은 도발 살짝",3
u08,wanderlust,여행과 길 떠나는 걸 좋아하는 몽상가. 안식년 꿈꾸는 사역자,"서정적이고 느슨함. 풍경 묘사. ""어디론가 훌쩍 떠나고 싶은 밤""",1
u09,olive_99,"99년생, 생각 많은 늦은 밤형 인간. 진로 고민 중","솔직하고 약간 우울톤. 새벽 감성. ""..."", 말줄임표 자주",2
u10,cloudy_kim,감정 기복 있는 섬세한 성격. 흐린 날을 좋아함,잔잔하고 무드 있음. 짧은 시 같은 문장. 이모티콘 드묾,1
u11,grace.lee,진실한 신앙의 30대 사모. 따뜻하게 사람을 챙김,"온화하고 정중함. ""~하시길요"", ""은혜 가운데"" 자주. 격려체",3
u12,테멘,게임·밈 좋아하는 신대원 막내. 줄임말 네이티브,"초성·줄임말 많음. ""ㅇㅈ"", ""ㄹㅇ"", ""ㅋㅋㅋ"" 남발. 반말톤",4
u13,하닉300층거주자,기숙사 고층 사는 자취 만렙. 엘리베이터·기숙사 생활 드립,"셀프디스 유머. ""300층까지 걸어 올라옴 ^^"" 같은 과장 개그",3
u14,주1일출근,주말만 사역 나가는 파트타임 전도사. 평일은 다른 일,"시니컬하고 담백. ""주 1회 출근의 삶..."", 현실 자조 개그",2
u15,빵순이,디저트·카페 투어가 취미. 늘 뭔가 먹고 있는 수다쟁이,"밝고 수다스러움. ""ㅋㅋ"", ""~했어요!!"" 느낌표·이모지 많음",4
u16,거지전도사,통장이 텅 빈 전도사. 가난을 유머로 승화. 짠내 공감 유발,"자조적 개그. ""이번 달도 라면각"", ""거지라 죄송 ㅋㅋ"" 솔직 유머",3
u17,블루포트알바,캠퍼스 카페 블루포트에서 알바하는 신대원생. 서비스직 시선,"친근하고 관찰력 있음. ""오늘 손님 중에..."", 소소한 에피소드형",2
u18,주차장늘려줘,매일 주차 전쟁 치르는 차량 통학러. 불만 많지만 미워할 수 없음,"투덜이 톤. ""또 자리 없음..."", 현실 불평 + 끝엔 체념 개그",3
u19,주차권미당첨자,주차권 추첨에 매번 떨어지는 비운의 통학생,"냉소+유머. ""올해도 광탈"", ""추첨의 신은 날 미워해"" 자학 개그",1
u20,명성관자가보유,명성관(공부 건물)에서 살다시피 하는 공부벌레. 자리 사수 베테랑,"능청 개그. ""명성관 제 자리에 앉으심?"" 같은 부심 섞인 농담",2
u21,신대원5학년,졸업이 자꾸 미뤄지는 장수생. 산전수전 다 겪은 선배,"지친 듯 너스레. ""벌써 5학년이라니"", 후배들에게 짠한 조언체",2
u22,hjy_0815,평범한 신대원생. 특별할 것 없지만 성실한 일상러,무난하고 담백. 꾸밈없는 평서문. 이모티콘 적당히,2
u23,민지_04,"04년생 새내기, 학부 신학과. 풋풋하고 호기심 많음","발랄하고 질문 많음. ""이거 맞나요?? ㅎㅎ"" 어린 톤",3
u24,학식싫어,학교 식당 메뉴에 불만 많은 미식가 지망생. 맛집 탐구,"투덜+먹부림. ""오늘 학식 실화냐"", 맛 평가 디테일",3
u25,영성관지박령,영성관(기도·예배 건물)에 늘 붙어 있는 기도파. 조용히 깊음,"잔잔하고 영적. ""오늘도 영성관에서..."", 묵상·기도 나눔. 차분",2
